Name	Set	ImageFile	Type	Affiliation	Energy	Unique	DiplomacyValue	DiplomacyText	MilitaryValue	MilitaryText	ScienceValue	ScienceText	Keywords	SpeciesType	Arrow	Gametext
Acquire Arms	Playtest	PT-PT001	Episode				1	Charge 1 energy.	1	Remove 1 token from each of your defense cards.	1	Draw 3 cards.	Planet			
Attend Conference	Playtest	PT-PT002	Episode				1	Draw 2 cards.	1	Draw 2 cards.	1	Draw 2 cards.	Planet			
Communicate with Alien	Playtest	PT-PT003	Episode				3	Place 3 Diplomacy crew you command on your exhaust pile in any order.	0	Play a Diplomacy crew for free.	0	Play a Diplomacy crew for free.	Space			
Deliver Shipment	Playtest	PT-PT004	Episode				1	Charge 2 energy.	1	Charge 2 energy.	1	Charge 2 energy.	Space			
Destroy Homeworld	Playtest	PT-PT005	Episode				0	Charge X energy. X = 9 - the number of crew you command.	3	Dismiss 2 Military crew.	0	Remove all tokens from your defense cards.	Space			
Enlist Ally	Playtest	PT-PT006	Episode				2	Discard 2 cards from hand.	1		0	You are +2 Military and +1 Diplomacy this episode.	Planet			
Expose Conspiracy	Playtest	PT-PT007	Episode				0	Each opponent who commands a Diplomacy crew must dismiss 1 Diplomacy crew.	2	Each opponent who commands a Military crew may draw a card.	1		Planet			
Find Relic	Playtest	PT-PT008	Episode				3	Dismiss all conditions that added to your Diplomacy total in this encounter.	0	Charge 1 energy for each weapon equipment you command.	0	Charge 1 energy for each non-weapon equipment you command.	Planet			
First Contact	Playtest	PT-PT009	Episode				1	If you won all encounters this episode, charge 2 energy.	1	You are +1 Diplomacy this episode.	1	You are +1 Military this episode	Planet			
Host Negotiations	Playtest	PT-PT010	Episode				2	Discard 1 card from the top of your deck for each Negotiation crew you command.	0	Charge 1 energy for each Information crew you command.	1	Return a weapon condition to hand.	Space			
Liberate Captive	Playtest	PT-PT011	Episode				0	Add 2 Military in this episode's Military encounter.	3	Dismiss a Military crew. Each opponent may charge energy equal to that crew's cost.	0	Add 2 Military in this episode's Military encounter.	Planet			
Negotiate Use	Playtest	PT-PT012	Episode				3	Dismiss a Diplomacy crew. Each opponent may charge energy equal to that crew's cost.	0	Charge 1 energy for each Military crew you command.	0	Charge 1 energy for each Science crew you command.	Space			
Purchase Technology	Playtest	PT-PT013	Episode				1		0	You may dismiss or discard from hand X equipment cards and charge X energy.	2	Discard 2 cards from hand at random.	Space			
Search for Lost Crewmember	Playtest	PT-PT014	Episode				1	Return 1 Negotiation crew to hand.	1	Return an equipment condition to hand.	1	Draw 1 card.	Planet			
Study Primitive Culture	Playtest	PT-PT015	Episode				2	Discard 2 cards from hand.	0	Dismiss up to 2 Military crew, then play that many Diplomacy crew for free.	1		Planet			
Warp Drive Test	Playtest	PT-PT016	Episode				1	Charge 1 energy for each Negotiation crew you command.	1	Charge 1 energy for each ship condition you command.	1	Charge 1 energy for each Engineering crew you command.	Space			
Anti-Time Anomaly	Playtest	PT-PT017	Hazard													End of episode: All players dimiss all crew.
Drained Shields	Playtest	PT-PT018	Hazard													Mission: Any player may apply 3 Military crew to destroy Drained Shields. Military Encounter Winner: Add tokens to your defense cards until both are down. You may apply a Science crew twice to prevent this.
Genesis Device	Playtest	PT-PT019	Hazard										Khan			End of episode: All crew and equipment are placed in their owners' exhaust piles. Each player may draw until they have 7 cards in hand and may charge 4 energy.
Kazon Ambush	Playtest	PT-PT020	Hazard													Mission: Any player may apply 3 Military crew to destroy Kazon Ambush. 3rd Encounter Winner: Dismiss a Diplomacy crew, a Military crew, and a Science crew.
Outmaneuvered	Playtest	PT-PT021	Hazard													Mission: Any player may apply a Military crew and spend 3 energy to destroy Outmaneuvered. Military Encounter Winner: Reveal your hand. Discard all weapon events revealed.
Pakled Ruse	Playtest	PT-PT022	Hazard													Mission: Any player may apply 2 Military crew to destroy Pakled Ruse. Science Encounter Winner: Reveal your hand. Discard each Science crew revealed.
Trophies of the Hirogen	Playtest	PT-PT023	Hazard													Mission: Any player may apply 2 Diplomacy crew to destroy Trophies of the Hirogen. Military Encounter Winner: Discard a number of cards from the top of your deck equal to your Military total in this encounter.
Under Bombardment	Playtest	PT-PT024	Hazard										Planet.			Mission: Any player may discard 3 cards from hand to destroy Under Bombardment. Science Encounter Winner: Reveal your hand. Discard all conditions revealed.
Witchhunt Trials	Playtest	PT-PT025	Hazard													Mission: Any player may discard 3 cards from hand to destroy Witchhunt Trials. Diplomacy Encounter Winner: Reveal your hand. Discard each Diplomacy crew revealed.
Adapt	Playtest	PT-PT026	Event	Borg	3	N										Mission: Unless any player spends 2 energy to prevent it, search your deck and take a card into hand; reshuffle.
Borg Cube 630	Playtest	PT-PT027	Starship	Borg	12	Y					1		Energy Beam. Cutting Beam.	Cube.		At the start of the mission phase, you may charge 1 extra energy for each non-Borg crew you command (limit 3). Starship Weapon - Borg Energy Beam. Cost: 3 energy. Power: 1. Targeting: Opponent. Damage: Discard 1 crew or equipment.
Borg Queen	Playtest	PT-PT028	Crew	Borg	5	Y			3				Tactical.	Borg.	Fore	While you command 3 drones, up to 3 of your temporary crew are not discarded at the end of episodes.
B-Type Drone	Playtest	PT-PT029	Crew	Borg	2	N			1				Drone. Combat.	Borg.	Aft	Response: If a crew at a planet episode is about to be destroyed or dismissed, apply B-Type Drone to prevent this, then take command of that crew.
Cutting Beam	Playtest	PT-PT030	Condition	Borg	3	N								Equipment.	Fore	Plays on a Cube. Starship Weapon. Mission: Cost: 3 energy Power: 1 Targeting: You Damage: Opponent must dismiss 1 crew. You may spend 1 energy to take command of this crew.
Digger Drone	Playtest	PT-PT031	Crew	Borg	3	N					1		Drone. Geophysics.	Borg.	Aft	If at a planet episode, you may charge one extra energy at the start of your base phase and mission phase.
Drive Drone	Playtest	PT-PT032	Crew	Borg	2	N					1		Drone.	Borg.	Aft	When Drive Drone enters play, you may add a toke to one of your defense cards to charge 2 energy.
Drone Alcove	Playtest	PT-PT033	Condition	Borg	1	N							Equipment.		Fore Aft	When you are paying support at the start of your base phase, you may apply up to 2 of your drones to reduce your support cost by 1 for each drone applied.
Focus	Playtest	PT-PT034	Event	Borg	2	N										Base: Dismiss 1 of your Victory tokens. Take a card from your deck into hand; reshuffle.
Green Torpedoes	Playtest	PT-PT035	Event	Borg	3	N							Weapon.			Starship weapon. Mission: Power: 2 Targeting: Opponent Damage: Discard 4 cards from deck.
Military Assimilation Drone	Playtest	PT-PT036	Crew	Borg	3	N			1				Drone.	Borg.	Fore Aft	While you command another crew that has Combat, Helm, Information, or Tactical, Military Assimilation Drone also has that ability.
Scout Drone	Playtest	PT-PT037	Crew	Borg	3	N			1				Drone. Combat.	Borg.	Fore Aft	Mission: If an opponent's defense card is down, dismiss Scout Drone to destroy a crew that opponent commands.
Shield Disruptor Beam	Playtest	PT-PT038	Condition	Borg	1	N								Equipment.	Fore	Plays on a Cube. Starship Weapon Mission: Cost: 2 energy Power: 1 Targeting: Opponent Damage: None.
The Collective	Playtest	PT-PT039	Condition	Borg	1	N										Base or Mission: Apply a Drone to charge 1 engergy.
22nd Rule of Acquisition	Playtest	PT-PT040	Event	Ferengi	0	N							Rule.			Base or Mission: Apply up to 3 Ferengi. Charge 2 energy for each Ferengi applied.
75th Rule of Acquisition	Playtest	PT-PT041	Condition	Ferengi	2	N							Rule.			Mission: Spend 1 energy to play a Ferengi crew (you must pay that crew's cost).
A Small Fee	Playtest	PT-PT042	Condition	Ferengi	1	N										Conditions have a support cost of 1. Players may dismiss a condition instead of paying its support costs.
Brunt	Playtest	PT-PT043	Crew	Ferengi	4	Y			2				Information.	Ferengi.	Fore	When Brunt enters play, all opponents must discard 1 card from hand. Mission: Apply Brunt to force an opponent to spend 2 energy.
Dr. Reyga	Playtest	PT-PT044	Crew	Ferengi	3	Y					1		Astrophysics.	Ferengi.	Fore	Science encounter: If at a space episode, apply Dr. Reyga to add 2 Science.
Ferengi Doctor	Playtest	PT-PT045	Crew	Ferengi	2	N					1		Medicine.	Ferengi.	Fore Aft	Base: Apply Ferengi Doctor to remove a token from a crew.
Ferengi Financial Net	Playtest	PT-PT046	Event	Ferengi	4	N										Base or Mission: Charge 6 energy.
Ferengi Gouge Miner	Playtest	PT-PT047	Crew	Ferengi	2	N					1		Geophysics.	Ferengi.	Aft	When Ferengi Gouge Miner enters play, you may destroy a Planet Hazard.
